step      Walk1           Walk2           Walk3           Walk4           Walk5           Walk6           Walk7      
           x1      y1      x2      y2      x3      y3      x4      y4      x5      y5      x6      y6      x7      y7
47     -4.728  12.114  -5.176  -2.833  -2.051  -0.898  -1.197   0.845  -2.330  -0.741  -1.808  -4.360   7.864   4.422
48     -4.594  11.123  -4.491  -3.561  -1.592  -1.786  -2.096   0.408  -1.505  -0.175  -2.205  -3.442   8.470   3.627
49     -5.501  11.544  -3.746  -4.228  -0.692  -2.223  -1.506  -0.399  -2.412   0.245  -1.999  -2.463   9.112   2.860
50     -6.242  12.215  -2.962  -4.849  -1.683  -2.358  -2.298  -1.010  -1.426   0.084  -1.091  -2.046   8.826   3.818
51     -6.937  12.934  -1.979  -5.034  -2.285  -3.157  -1.299  -1.067  -0.807  -0.702  -1.943  -1.523   8.198   4.596
52     -6.319  12.148  -2.712  -5.715  -1.286  -3.205  -0.307  -1.188  -1.568  -0.054  -2.410  -0.638   7.205   4.475
53     -5.774  12.986  -1.715  -5.641  -1.294  -2.205  -1.157  -0.662  -1.895   0.891  -1.609  -1.238   8.205   4.466
54     -6.758  12.809  -2.255  -4.799  -2.293  -2.237  -1.979  -0.092  -2.888   1.007  -0.768  -1.779   8.247   5.465
55     -6.865  13.803  -2.840  -3.988  -1.565  -2.922  -2.660  -0.824  -2.479   1.920  -1.704  -1.425   8.663   6.375
56     -5.867  13.871  -3.398  -4.818  -0.988  -2.106  -3.344  -0.095  -2.948   1.037  -2.269  -2.250   9.006   5.435
57     -4.929  14.217  -4.371  -4.588  -1.450  -2.993  -3.297  -1.093  -2.394   0.204  -1.273  -2.155   9.796   4.823
58     -4.101  14.777  -5.243  -4.098  -2.074  -2.211  -4.276  -0.888  -2.341  -0.794  -1.671  -3.073  10.778   4.633
59     -4.065  13.778  -4.529  -3.399  -1.137  -2.561  -3.543  -0.208  -2.069   0.168  -1.384  -2.115  10.377   5.549
60     -3.366  14.493  -5.516  -3.237  -1.658  -1.708  -2.558  -0.030  -2.763   0.888  -2.005  -2.899  10.709   6.493
61     -4.363  14.411  -6.450  -2.880  -0.838  -1.136  -3.389  -0.587  -2.977  -0.089  -2.655  -2.139  10.037   5.753
62     -3.543  13.839  -5.450  -2.849  -1.357  -0.281  -2.400  -0.439  -2.538   0.810  -3.545  -1.682  10.541   6.616
63     -3.812  14.802  -5.027  -1.943  -2.222  -0.784  -3.399  -0.408  -3.496   0.524  -3.945  -2.598  11.015   5.735
64     -4.567  14.145  -4.367  -2.695  -3.057  -0.234  -4.180   0.218  -4.277   1.149  -3.018  -2.973  11.692   6.470
65     -5.378  14.730  -5.052  -3.423  -2.755   0.719  -4.437  -0.749  -5.041   1.795  -3.322  -3.926  10.700   6.595
66     -5.046  13.786  -4.999  -4.422  -1.868   0.256  -5.359  -0.363  -5.689   2.556  -3.592  -4.889  10.151   5.759
67     -4.101  14.113  -5.787  -3.807  -2.682  -0.325  -6.321  -0.636  -4.941   1.892  -2.655  -5.237  11.151   5.791
68     -4.855  13.456  -4.980  -4.397  -3.182   0.541  -5.677  -1.400  -5.756   1.311  -1.969  -5.965  10.327   6.358
69     -4.509  14.394  -5.724  -3.729  -3.473   1.498  -6.645  -1.151  -6.707   1.005  -1.585  -5.042  10.335   7.358
70     -5.483  14.621  -4.797  -4.104  -2.492   1.694  -5.667  -0.944  -6.270   0.105  -1.894  -5.993   9.791   8.198
71     -6.406  14.235  -5.752  -3.807  -3.249   2.348  -6.559  -1.395  -5.424  -0.428  -1.255  -5.224   9.046   7.531
72     -5.461  14.564  -6.124  -2.879  -4.124   1.864  -5.596  -1.127  -6.095   0.314  -0.345  -5.638   9.907   7.022
73     -6.332  14.073  -6.026  -3.874  -4.725   2.663  -6.184  -1.936  -6.742   1.076   0.599  -5.967  10.394   6.149
74     -7.329  14.158  -6.743  -3.177  -4.842   3.656  -5.209  -2.158  -7.630   0.618   1.081  -5.091   9.663   5.467
75     -6.573  14.814  -7.532  -3.790  -5.310   2.772  -6.137  -1.785  -7.156   1.498   1.829  -4.428   8.976   6.194
76     -7.160  14.004  -8.053  -4.644  -4.650   2.021  -7.077  -1.444  -7.249   0.503   2.741  -4.015   9.877   5.760
77     -6.160  13.967  -7.337  -3.945  -3.868   1.398  -6.221  -0.928  -6.332   0.901   3.288  -3.179  10.755   6.239
78     -5.877  13.008  -8.280  -3.612  -4.766   1.838  -5.367  -0.406  -6.933   0.102   3.678  -4.099  11.539   5.617
79     -5.422  13.898  -7.554  -4.300  -4.869   0.844  -4.419  -0.722  -7.440  -0.760   4.474  -3.494  10.909   6.394
80     -5.427  12.898  -6.555  -4.339  -4.328   1.684  -3.466  -1.026  -8.122  -1.492   5.472  -3.424  11.783   6.881
81     -4.957  13.781  -5.570  -4.510  -4.150   0.700  -4.010  -1.866  -8.530  -0.578   6.270  -4.026  12.334   7.715
82     -5.098  14.771  -4.995  -5.328  -4.280   1.692  -4.742  -2.546  -7.531  -0.527   7.085  -3.447  13.326   7.589
83     -4.177  14.380  -5.871  -5.809  -4.424   0.702  -5.741  -2.506  -7.955   0.379   7.091  -4.447  12.721   8.385
84     -3.948  15.353  -5.959  -6.805  -3.673   1.362  -4.937  -1.911  -7.374  -0.435   6.187  -4.873  13.317   9.188
85     -4.070  16.346  -5.019  -7.144  -4.419   0.695  -5.814  -2.392  -8.074  -1.150   6.150  -5.872  14.227   8.773
86     -4.450  15.421  -4.092  -6.770  -3.583   1.244  -6.813  -2.443  -8.668  -1.954   5.416  -5.193  14.216   7.773
87     -5.023  14.601  -3.564  -5.920  -2.796   0.627  -7.632  -3.016  -7.896  -2.588   4.433  -5.375  13.541   7.035
88     -4.374  15.362  -2.790  -6.554  -3.783   0.467  -8.035  -2.101  -8.804  -3.007   3.978  -6.266  12.562   6.833
89     -3.665  14.657  -2.591  -5.574  -3.016  -0.174  -7.705  -1.157  -9.601  -3.610   3.147  -5.709  11.896   7.579
90     -3.052  13.867  -3.050  -6.463  -3.521   0.689  -8.464  -0.506  -8.851  -2.949   2.320  -6.271  11.195   6.866
91     -3.890  13.321  -2.274  -5.833  -3.084  -0.211  -7.614  -1.034  -7.975  -3.430   1.576  -5.603  11.725   6.018
92     -3.292  14.123  -1.455  -5.258  -2.102  -0.024  -8.519  -0.608  -8.443  -2.547   0.861  -4.903  11.418   5.067
93     -2.430  13.617  -1.590  -6.249  -1.771  -0.967  -9.227  -1.315  -8.797  -1.612   1.842  -5.098  11.332   4.070
94     -2.133  14.572  -0.791  -6.850  -2.508  -0.292  -9.403  -0.330  -8.431  -0.681   0.846  -5.185  10.332   4.057
95     -2.699  15.396   0.017  -6.261  -1.596  -0.701  -9.863  -1.218  -7.611  -1.253   1.559  -4.484   9.437   3.611
96     -3.081  14.472   0.916  -5.825  -0.849  -0.036  -9.410  -2.110  -8.559  -1.572   1.766  -5.463   8.438   3.564
97     -2.523  13.642   0.740  -4.840  -0.275  -0.854  -8.431  -1.907  -8.865  -0.620   2.484  -6.159   8.976   4.406
